Model,File Name,File Size,Download Link
Verykool S5019,Verykool_S5019_SW_2.3_6.0_SPD.zip,585 MB,https://drive.google.com/file/d/1a2N8Vj7n1Zs0nWfmeezzbhqPJBJX4FYg/view
Verykool S5027,Verykool_S5027_SW_1.0_13012017_6.0_MIRA.zip,856 MB,https://drive.google.com/file/d/19qJkw67DsaLaDxRBXvE2RowCRPJRHpQK/view
Verykool S5036 Claro,Verykool_S5036_Claro_MT6580_20171208_7.0.zip,897 MB,https://drive.google.com/file/d/1aAlltZ-YF1p4isfh4hfJFn42WkfNTq5U/view
Verykool S5036,Verykool_S5036_MT6580_20171208_7.0.zip,786 MB,https://drive.google.com/file/d/188FH0HYTqnxnutAck3k-1up2Mu6KW8j0/view
Verykool S5037,Verykool_S5037_MT6580_SW_V1.2_HW_V1.0_20171208_7.0.zip,1.42 GB,https://drive.google.com/file/d/1tr_fZLprppZLt9ij9QsCoAZqQFGvc5bk/view
Verykool S5019,Verykool_S5019_SW_2.3_6.0_SPD.zip,585 MB,https://drive.google.com/file/d/1a2N8Vj7n1Zs0nWfmeezzbhqPJBJX4FYg/view
Verykool S5027,Verykool_S5027_SW_1.0_13012017_6.0_MIRA.zip,856 MB,https://drive.google.com/file/d/19qJkw67DsaLaDxRBXvE2RowCRPJRHpQK/view
Verykool S5036 Claro,Verykool_S5036_Claro_MT6580_20171208_7.0.zip,897 MB,https://drive.google.com/file/d/1aAlltZ-YF1p4isfh4hfJFn42WkfNTq5U/view
Verykool S5036,Verykool_S5036_MT6580_20171208_7.0.zip,786 MB,https://drive.google.com/file/d/188FH0HYTqnxnutAck3k-1up2Mu6KW8j0/view
Verykool S5037,Verykool_S5037_MT6580_SW_V1.2_HW_V1.0_20171208_7.0.zip,1.42 GB,https://drive.google.com/file/d/1tr_fZLprppZLt9ij9QsCoAZqQFGvc5bk/view
