Model,File Name,File Size,Download Link
Videocon Metal Pro 2 V505920,Videocon_Metal_Pro_2_V505920_MT6737M_GLOBAL_V1.0_V50VB_20170613_7.0.zip,1.44 GB,https://drive.google.com/file/d/1JE9qk8TTDO3otd_lour-lbesXdHsfjtT/view
Videocon Cube 3 V50JL V502930,Videocon_Cube_3_V50JL_V502930_MT6735_503_91_V1.0_160914.zip,1.26 GB,https://drive.google.com/file/d/19fdYd4pFO1B0_sBVE5lLE6E6hFWmDLkW/view
Videocon Kryton 3 V50JG V502430,Videocon_Kryton_3_V50JG_V502430_MT6735_503_91_V1.0_160623.zip,1.19 GB,https://drive.google.com/file/d/1kSVQVtHOdELc7j4Rg0zGlOSNw7secLT9/view
Videocon V5014,Videocon_V5014_MT6735M_,749 MB,https://drive.google.com/file/d/13yc_YcPelhBbeYM9Xcc6FJFFZg6CLeHG/view
Videocon Challenger V40UE V400414,Videocon_Challenger_V40UE_V400414_91_V10A_160427_SPD.zip,490 MB,https://drive.google.com/file/d/10F7nRKypKSKKGrkrgBIAZLTZIy8miPxs/view
Videocon V5010,Videocon_V5010_MT6580_V4.0_20160412.zip,573 MB,https://drive.google.com/file/d/1ccFfsX33_U4EzT_eV5izqYzwPcdB4qjD/view
Videocon V502830,Videocon_V502830_19172016_EXE.zip,1008 MB,https://drive.google.com/file/d/1DL1GmTqvOfwoLBatZyM0uuvQLBZmGvhu/view
Videocon V504730,Videocon_V504730_MT6735M_V1.0_V50MB_M87945_20170228.zip,1 GB,https://drive.google.com/file/d/1MdcqTGaomkVOkT_uCLyLuF__SiPer262/view
Videocon Z45Q Star Plus,Videocon_Z45Q_Star_Plus_SP7731GEA_V08_20160225_MIRA.zip,509 MB,https://drive.google.com/file/d/1f9eh63nE4jPx57BIFVtyVvVRIjnC2AG2/view
Videocon V503630,Videocon_V503630_MT6735M_20160930_6.0.zip,1.36 GB,https://drive.google.com/file/d/17a0wVTcwrgAt9qoIfHNkcLB7TqhRPzkY/view
Videocon Z55 Dash,Videocon_Z55_Dash_MT6592_V1.8_260815.zip,513 MB,https://drive.google.com/file/d/1fK9vne8XHjuVNRVXTGiFVwaFd3P0bMzy/view
Videocon Z45 Amaze,Videocon_Z45_Amaze_V5.0_19112015_SPD.zip,347 MB,https://drive.google.com/file/d/1ioQvnZ7-VnKWWDHLAljJWXEJK6k6lxkc/view
Videocon Metal Pro 2 V505920,Videocon_Metal_Pro_2_V505920_MT6737M_GLOBAL_V1.0_V50VB_20170613_7.0.zip,1.44 GB,https://drive.google.com/file/d/1JE9qk8TTDO3otd_lour-lbesXdHsfjtT/view
Videocon Cube 3 V50JL V502930,Videocon_Cube_3_V50JL_V502930_MT6735_503_91_V1.0_160914.zip,1.26 GB,https://drive.google.com/file/d/19fdYd4pFO1B0_sBVE5lLE6E6hFWmDLkW/view
Videocon Kryton 3 V50JG V502430,Videocon_Kryton_3_V50JG_V502430_MT6735_503_91_V1.0_160623.zip,1.19 GB,https://drive.google.com/file/d/1kSVQVtHOdELc7j4Rg0zGlOSNw7secLT9/view
Videocon V5014,Videocon_V5014_MT6735M_,749 MB,https://drive.google.com/file/d/13yc_YcPelhBbeYM9Xcc6FJFFZg6CLeHG/view
Videocon Challenger V40UE V400414,Videocon_Challenger_V40UE_V400414_91_V10A_160427_SPD.zip,490 MB,https://drive.google.com/file/d/10F7nRKypKSKKGrkrgBIAZLTZIy8miPxs/view
Videocon V5010,Videocon_V5010_MT6580_V4.0_20160412.zip,573 MB,https://drive.google.com/file/d/1ccFfsX33_U4EzT_eV5izqYzwPcdB4qjD/view
Videocon V502830,Videocon_V502830_19172016_EXE.zip,1008 MB,https://drive.google.com/file/d/1DL1GmTqvOfwoLBatZyM0uuvQLBZmGvhu/view
Videocon V504730,Videocon_V504730_MT6735M_V1.0_V50MB_M87945_20170228.zip,1 GB,https://drive.google.com/file/d/1MdcqTGaomkVOkT_uCLyLuF__SiPer262/view
Videocon Z45Q Star Plus,Videocon_Z45Q_Star_Plus_SP7731GEA_V08_20160225_MIRA.zip,509 MB,https://drive.google.com/file/d/1f9eh63nE4jPx57BIFVtyVvVRIjnC2AG2/view
Videocon V503630,Videocon_V503630_MT6735M_20160930_6.0.zip,1.36 GB,https://drive.google.com/file/d/17a0wVTcwrgAt9qoIfHNkcLB7TqhRPzkY/view
Videocon Z55 Dash,Videocon_Z55_Dash_MT6592_V1.8_260815.zip,513 MB,https://drive.google.com/file/d/1fK9vne8XHjuVNRVXTGiFVwaFd3P0bMzy/view
Videocon Z45 Amaze,Videocon_Z45_Amaze_V5.0_19112015_SPD.zip,347 MB,https://drive.google.com/file/d/1ioQvnZ7-VnKWWDHLAljJWXEJK6k6lxkc/view
