Model,File Name,File Size,Download Link
Vnus Max 12,Vnus_Max_12_MT6580_V01_20181205_8.1.0.zip,688 MB,https://drive.google.com/file/d/1uajiJDOQfminuJEBTop-J5i0dxl16gYf/view
Vnus Z85 Prime,Vnus_Z85_Prime_V02_20210420_SPD.zip,649 MB,https://drive.google.com/file/d/1SCDjpuDaJ8u4pYVcR1dr1b32NADXIQW5/view
Vnus Z90,Vnus_Z90_V01_210109_SPD.zip,524 MB,https://drive.google.com/file/d/177DnmkLjmbdjb-ij8UuXW18XxAAhtB_m/view
Vnus Sun S31,Vnus_Sun_S31_SP7731GEA_V001_191111_6.0_SPD.zip,576 MB,https://drive.google.com/file/d/1lY496yC-mZvKCq5SwDcOnIqQP2uoWT5D/view
Vnus Zeus Z81,Vnus_Zeus_Z81_SC8830_V01_200803_6.0_MIRA.zip,596 MB,https://drive.google.com/file/d/1SVAvS5P9xlcNzSnWu013H1uYHA1KLOso/view
Vnus Sun S20,Vnus_Sun_S20_SC8830_V001_191224_6.0_MIRA.zip,590 MB,https://drive.google.com/file/d/1Kndl8SQh1HPuO0yqzA9cL6rcaYEsiNP4/view
Vnus Max 12,Vnus_Max_12_MT6580_V01_20181205_8.1.0.zip,688 MB,https://drive.google.com/file/d/1uajiJDOQfminuJEBTop-J5i0dxl16gYf/view
Vnus Z85 Prime,Vnus_Z85_Prime_V02_20210420_SPD.zip,649 MB,https://drive.google.com/file/d/1SCDjpuDaJ8u4pYVcR1dr1b32NADXIQW5/view
Vnus Z90,Vnus_Z90_V01_210109_SPD.zip,524 MB,https://drive.google.com/file/d/177DnmkLjmbdjb-ij8UuXW18XxAAhtB_m/view
Vnus Sun S31,Vnus_Sun_S31_SP7731GEA_V001_191111_6.0_SPD.zip,576 MB,https://drive.google.com/file/d/1lY496yC-mZvKCq5SwDcOnIqQP2uoWT5D/view
Vnus Zeus Z81,Vnus_Zeus_Z81_SC8830_V01_200803_6.0_MIRA.zip,596 MB,https://drive.google.com/file/d/1SVAvS5P9xlcNzSnWu013H1uYHA1KLOso/view
Vnus Sun S20,Vnus_Sun_S20_SC8830_V001_191224_6.0_MIRA.zip,590 MB,https://drive.google.com/file/d/1Kndl8SQh1HPuO0yqzA9cL6rcaYEsiNP4/view
