Model,File Name,File Size,Download Link
Vodafone 985N,Vodafone_985N_MT6582_vGN5-0_060614_4.4.2.zip,712 MB,https://drive.google.com/file/d/1CX-ObJMiyWbN3ennhCsD8GT7xmKWJ_C2/view
Vodafone Kicka 5,Vodafone_Kicka_5_MT6580_110919_8.1.0.zip,649 MB,https://drive.google.com/file/d/1SRVNEhwzYghS71xQSuqiUqtIkXUeZFxP/view
Vodafone Smart E9 VFD527,Vodafone_Smart_E9_VFD527_MT6739_050620_8.1.0.zip,784 MB,https://drive.google.com/file/d/1GnP-dAzHLhFjuxM9Ce0YcwP5DLEVhIpT/view
Vodafone Smart C9 VFD320,Vodafone_Smart_C9_VFD320_MT6580_SS_ZA_180827_8.1.0.zip,598 MB,https://www.mediafire.com/file/8t8oapldg6ryhzl/Vodafone_Smart_C9_VFD320_MT6580_SS_ZA_180827_8.1.0.zip/file
Vodafone Smart Ultra 6,Vodafone_Smart_Ultra_6_P839V55V1.0.0B11_QPST.zip,1.13 GB,https://www.mediafire.com/file/imtalg1w6amgbmt/Vodafone_Smart_Ultra_6_P839V55V1.0.0B11_QPST.zip/file
Vodafone VFD511,Vodafone_VFD511_20170305_7.1.1_QFIL.zip,1 GB,https://drive.google.com/file/d/1oqHEDWgnc25JBEPyk-qevfCGFEqgZ_M0/view
Vodafone Smart Ultra 7 VDF700,Vodafone_Smart_Ultra_7_VDF700_MT6755_25032016.zip,2 GB,https://drive.google.com/file/d/1Y6aPgVxKGFtKJRDfYzQTD-RvfI1y-L11/view
Vodafone Smart Ultra 7 VFD700,Vodafone_Smart_Ultra_7_VFD700_MT6755_25032016.zip,1.57 GB,https://drive.google.com/file/d/1m9-CG3qG-g_rHCF682naqtk2TN0PyYGP/view
Vodafone Smart Turbo 7 VFD500,Vodafone_Smart_Turbo_7_VFD500_MT6735M_V2.39.1_21122016_6.0.zip,1.07 GB,https://www.mediafire.com/file/x5tjt19e0xica00/Vodafone_Smart_Turbo_7_VFD500_MT6735M_V2.39.1_21122016_6.0.zip/file
Vodafone Power Tab 10 VF1296,Vodafone_Power_Tab_10_VF1296_MT6580_07092016.zip,956 MB,https://www.mediafire.com/file/m6rvk54mnxjusha/Vodafone_Power_Tab_10_VF1296_MT6580_07092016.zip/file
Vodafone Smart Kicka VE VFD100,Vodafone_Smart_Kicka_VE_VFD100_MT6572.zip,747 MB,https://drive.google.com/file/d/1xzhlOzeP8wbTRKSqk3xflFnZ65V7y1c1/view
Vodafone Smart Tab 3G,Vodafone_Smart_Tab_3G_MT6582.zip,741 MB,https://drive.google.com/file/d/1LbjfNIwY7VKwTTdTWJf2TAtuq2FEtupU/view
Vodafone Smart Mini 7 VFD300,Vodafone_VFD300_MT6580_,326 MB,https://drive.google.com/file/d/163-unbsgkkIUuDUc0INoPfIaB05A6oBt/view
Vodafone 985N,Vodafone_985N_MT6582_vGN5-0_060614_4.4.2.zip,712 MB,https://drive.google.com/file/d/1CX-ObJMiyWbN3ennhCsD8GT7xmKWJ_C2/view
Vodafone Kicka 5,Vodafone_Kicka_5_MT6580_110919_8.1.0.zip,649 MB,https://drive.google.com/file/d/1SRVNEhwzYghS71xQSuqiUqtIkXUeZFxP/view
Vodafone Smart E9 VFD527,Vodafone_Smart_E9_VFD527_MT6739_050620_8.1.0.zip,784 MB,https://drive.google.com/file/d/1GnP-dAzHLhFjuxM9Ce0YcwP5DLEVhIpT/view
Vodafone Smart C9 VFD320,Vodafone_Smart_C9_VFD320_MT6580_SS_ZA_180827_8.1.0.zip,598 MB,https://www.mediafire.com/file/8t8oapldg6ryhzl/Vodafone_Smart_C9_VFD320_MT6580_SS_ZA_180827_8.1.0.zip/file
Vodafone Smart Ultra 6,Vodafone_Smart_Ultra_6_P839V55V1.0.0B11_QPST.zip,1.13 GB,https://www.mediafire.com/file/imtalg1w6amgbmt/Vodafone_Smart_Ultra_6_P839V55V1.0.0B11_QPST.zip/file
Vodafone VFD511,Vodafone_VFD511_20170305_7.1.1_QFIL.zip,1 GB,https://drive.google.com/file/d/1oqHEDWgnc25JBEPyk-qevfCGFEqgZ_M0/view
Vodafone Smart Ultra 7 VDF700,Vodafone_Smart_Ultra_7_VDF700_MT6755_25032016.zip,2 GB,https://drive.google.com/file/d/1Y6aPgVxKGFtKJRDfYzQTD-RvfI1y-L11/view
Vodafone Smart Ultra 7 VFD700,Vodafone_Smart_Ultra_7_VFD700_MT6755_25032016.zip,1.57 GB,https://drive.google.com/file/d/1m9-CG3qG-g_rHCF682naqtk2TN0PyYGP/view
Vodafone Smart Turbo 7 VFD500,Vodafone_Smart_Turbo_7_VFD500_MT6735M_V2.39.1_21122016_6.0.zip,1.07 GB,https://www.mediafire.com/file/x5tjt19e0xica00/Vodafone_Smart_Turbo_7_VFD500_MT6735M_V2.39.1_21122016_6.0.zip/file
Vodafone Power Tab 10 VF1296,Vodafone_Power_Tab_10_VF1296_MT6580_07092016.zip,956 MB,https://www.mediafire.com/file/m6rvk54mnxjusha/Vodafone_Power_Tab_10_VF1296_MT6580_07092016.zip/file
Vodafone Smart Kicka VE VFD100,Vodafone_Smart_Kicka_VE_VFD100_MT6572.zip,747 MB,https://drive.google.com/file/d/1xzhlOzeP8wbTRKSqk3xflFnZ65V7y1c1/view
Vodafone Smart Tab 3G,Vodafone_Smart_Tab_3G_MT6582.zip,741 MB,https://drive.google.com/file/d/1LbjfNIwY7VKwTTdTWJf2TAtuq2FEtupU/view
Vodafone Smart Mini 7 VFD300,Vodafone_VFD300_MT6580_,326 MB,https://drive.google.com/file/d/163-unbsgkkIUuDUc0INoPfIaB05A6oBt/view
