Model,File Name,File Size,Download Link
WE V5,WE_V5_MT6739_HW1_SW7_190302.zip,1.13 GB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=66688
WE V4,WE_V4_MT6739_SW_V1.5_180515.zip,1 GB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=66687
WE V3 3G,WE_V3_3G_MT6580_170925_7.0.zip,1.32 GB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=66686
WE F20,WE_F20_MT6580_HW1_SW7_19072018.zip,764 MB,https://drive.google.com/file/d/1Tsb75jW1vLlecH6_pudxZXMjSnWTSB3Y/view
WE L5,We_L5_V1.0_20170625_6.0_SPD.zip,587 MB,https://www.mediafire.com/file/b1kh1ak68t95jd5/We_L5_V1.0_20170625_6.0_SPD.zip/file
We L7,We_L7_MT6580_20102017.zip,944 MB,https://drive.google.com/file/d/18wsr5dWJUla58IydLwxn4XswUlAitPKe/view
We T1,We_T1_MT6737M_17012018_7.0.zip,1 GB,https://drive.google.com/file/d/1tmQgELYrqA4I1l-Di8fM_tbre-QBXdZQ/view
We L8,We_L8_MT6737M_SW_004_1013_041217.zip,1.25 GB,https://drive.google.com/file/d/1W0pkKFCATZChuEuQdA3jQIiiBP5b39iA/view
WE V5,WE_V5_MT6739_HW1_SW7_190302.zip,1.13 GB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=66688
WE V4,WE_V4_MT6739_SW_V1.5_180515.zip,1 GB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=66687
WE V3 3G,WE_V3_3G_MT6580_170925_7.0.zip,1.32 GB,https://firmwaredrive.com/index.php?a=downloads&b=file&id=66686
WE F20,WE_F20_MT6580_HW1_SW7_19072018.zip,764 MB,https://drive.google.com/file/d/1Tsb75jW1vLlecH6_pudxZXMjSnWTSB3Y/view
