Model,File Name,File Size,Download Link
Walton Nexg N74,Walton_Nexg_N74_T606_V06_140924_SPD.zip,3 GB,https://drive.google.com/file/d/1uI3VtL1jbRyUzataEO511i2Fi7EHdigm/view?usp=sharing
Walton Orbit Y12,Walton_Orbit_Y12_V07_280624_SPD.zip,2.34 GB,https://drive.google.com/file/d/17RO_J6rygg55HbDWPBkdaVVlP69232Kg/view?usp=sharing
Walton Orbit Y70C,Walton_Orbit_Y70C_131124_13_SPD.zip,2.17 GB,https://drive.google.com/file/d/1QczHd6_ebBc8QAK6IYi952V43Y_Q0A7-/view?usp=sharing
Walton Nexg N9,Walton_Nexg_N9_MT6768_,2.74 GB,https://drive.google.com/file/d/1gSrCQJjKBYvdQ7_6eirus24R8udKKfGQ/view?usp=sharing
Walton Nexg N10 Ultra,Walton_Nexg_N10_Ultra_MT6768_V07_231224.zip,3.3 GB,https://drive.google.com/file/d/1sdCHo0ZS9-6e6QcefI3ZywR-seiflxka/view?usp=sharing
Walton Xanon X20,Walton_Xanon_X20_MT6789_,2.81 GB,https://drive.google.com/file/d/1W-IYW3w-FsaoB2_xMWT8rNrxGemcKWqT/view?usp=sharing
Walton Nexg N25,Walton_Nexg_N25_070125_SPD.zip,3 GB,https://drive.google.com/file/d/1a5XJkz_aPt5NM3z_P4TZG0oHOENXJpW9/view?usp=sharing
Walton Nexg N70,Walton_Nexg_N70_V12_230717_SPD.zip,2.23 GB,https://drive.google.com/file/d/1oMDM8T3PfQWv9uL7ZXJmm0ulwvdPsWyV/view?usp=sharing
Walton Nexg N6,Walton_Nexg_N6_V08_230410_SPD.zip,2.27 GB,https://drive.google.com/file/d/1WE6dZyQ7enHKzbF4ozGflkQY6MzwAAvC/view?usp=sharing
Walton Nexg N10,Walton_Nexg_N10_MT6768_,2.78 GB,https://drive.google.com/file/d/1k1TTRahsJNGiwQYnVHJjZSxhistffVo_/view?usp=sharing
Walton Xanon X90,Walton_Xanon_X90_MT6789_V12_181024.zip,3.42 GB,https://drive.google.com/file/d/1SBKov71pnECSbP9kLeH9thJFowFkGFZZ/view?usp=sharing
Walton Nexg N6 Lite,Walton_Nexg_N6_Lite_V04_230908_SPD.zip,2.30 GB,https://drive.google.com/file/d/1pf0gaK9UmhbFYGgRicDbuda-IlBeRRX_/view
