Model,File Name,File Size,Download Link
Yezz Max 2 Ultra,Yezz_Max_2_Ultra_MT6737M_HW1_V01_220402.zip,1.2 GB,https://drive.google.com/file/d/1yQvePl_aSVNcplq6Uw4yDmbdj2QPAwgm/view
Yezz Liv 2 LTE,Yezz_Liv_2_LTE_MT6739_V7.0_200622_10.zip,855 MB,https://drive.google.com/file/d/1L48GJeK93krpR0gmBxKNKg6P2dSaqb6t/view
Yezz Andy 4E3I,Yezz_Andy_4E3I_MT6572_HW1_V001_160803_4.4.2.zip,370 MB,https://drive.google.com/file/d/1MP5RnUH1KSdmfb0hugUn9PYJNL1Zx3Jx/view
Yezz Max 1 Plus,Yezz_Max_1_Plus_SP9832E_EN_HW1_V7_200618_9.0_MIRA.zip,1.3 GB,https://drive.google.com/file/d/1mr3tABKWvVt2_LuzgL_eyG2hb6uROaIb/view
Yezz Art 1,Yezz_Art_1_MT6739_,1.35 GB,https://drive.google.com/file/d/1nBm_mmsp8LEVWXoNNc_I9EnFm3yKoiXl/view
Yezz Max 1,Yezz_Max_1_MT6580_EN_B052_HW1_V001_181126_8.1.zip,848 MB,https://www.mediafire.com/file/ezqbfwcw0atuygp/Yezz_Max_1_MT6580_EN_B052_HW1_V001_181126_8.1.zip/file
Yezz Andy 5EQ,Yezz_Andy_5EQ_MT6580_HW1_V6.0_20180814_8.1.0.zip,538 MB,https://drive.google.com/file/d/17s9pDMCK2gbE7aCBW7HRSqZLZtJRjoK_/view
Yezz Andy 5E,Yezz_Andy_5E_MT6580_S00_V7.0_20180725_8.1.0.zip,572 MB,https://drive.google.com/file/d/1O7QWqSxnak7op039zEIWMdYC4Qp0cPd4/view
Yezz Andy 3.5E2I,Yezz_Andy_3.5E2I_MT6572_EN_4.4_B053_HW2_V01_20160720.zip,525 MB,https://drive.google.com/file/d/1bS--2_WTXD_eKPWBwuxf54c5XZ-5l8uF/view
Yezz Andy A5QP,Yezz_Andy_A5QP_MT6735_20160125_5.1.zip,751 MB,https://drive.google.com/file/d/1FxxuGyXeI-ttzs7v_JT6KbTzRydXTzLB/view
Yezz Andy 4E,Yezz_Andy_4E_MT6572_20150522_4.1.2.zip,533 MB,https://drive.google.com/file/d/1ztKlgsNXm12n1Tw6tfUaIh9gv-SC4g8P/view
