Model,File Name,File Size,Download Link
ZTE Axon 7 Mini B2017G,ZTE_Axon_7_Mini_B2017G_UK_V1.0.0B02_20180815_OTA.zip,2 GB,https://drive.google.com/file/d/1_DaU16zTDYa4lYXVfFegDJCccG1yVM5B/view?usp=sharing
ZTE Blade A512,ZTE_Blade_A512_B01_UK_MR09a_20180816_OTA.zip,1.05 GB,https://drive.google.com/file/d/1W_SdUxez58_NK_ZF7gkLvZe04mZADkWa/view?usp=sharing
ZTE VFD 510,ZTE_VFD_510_MRB06_20190417_OTA.zip,2.22 GB,https://drive.google.com/file/d/1jO9sakj4bPkaGjYOYjiuBl-fEkQHGote/view?usp=sharing
ZTE VFD 820,ZTE_VFD_820_MR04a_20191105_8.1_OTA.zip,2.27 GB,https://drive.google.com/file/d/1f6EcMQtMQzQRfosYkpC8zQ5WBjzmO-TK/view?usp=sharing
ZTE Blade A52 Lite,ZTE_Blade_A52_Lite_MT6580_F8018E_RU_V81_190929.zip,769 MB,https://drive.google.com/file/d/1SQMO-RN-U2qEVvB_vuEcaqdWp9od_gXk/view?usp=sharing
ZTE Blade A35 P963F10,ZTE_Blade_A35_P963F10_SC9863A_20240524_SPD.zip,2 GB,https://drive.google.com/file/d/1zp990xN094RcVt3DJlWpyZYjYOtkHUcV/view?usp=sharing
ZTE Blade G Lux V830W,ZTE_Blade_G_Lux_V830W_MT6572_04102017_4.4.2.zip,495 MB,https://drive.google.com/file/d/1-7mF1XkrCKt4KeZXJfoCFG5LZ0DfdwuF/view
ZTE Blade A53 Plus,ZTE_Blade_A53_Plus_448490B0485_GEN_EU_EEA_230323_12_OTA.zip,1.55 GB,https://drive.google.com/file/d/1mzFq7lRT9mxuTNu7miST2JK24Rfk5fyF/view
ZTE Blade Vantage 2 Z3153V,ZTE_Blade_Vantage_2_Z3153V_MT6761_V1.0.0B12_180610.zip,1.39 GB,https://drive.google.com/file/d/1bdN4foIV1YvxHdFTbmCsSDZWSKK3QgGC/view
ZTE Blade A602,ZTE_Blade_A602_MT6737M_P637F02V1.0.0B25_20171018_6.0.zip,1.43 GB,https://drive.google.com/file/d/1QnHxXLxSQHHz-ketFW9F8kkChn07PxJs/view
ZTE Blade A606,ZTE_Blade_A606_MT6739_CT_CN_V6.0_P639S10V1.0.0B19_20180719_8.1.zip,1.60 GB,https://drive.google.com/file/d/1SM5n2vbWk1awuoELIh9-k6b4pdWPLgZN/view
ZTE Blade A910,ZTE_Blade_A910_MT6735_V3.0_DIS_TR_P635A31V1.0.0B04_6.0_20160628.zip,2.14 GB,https://drive.google.com/file/d/1Y7Nt6wqEb7UaFkJSHherSj87FbXRtzSH/view
ZTE Blade D6 Lite,ZTE_Blade_D6_Lite_TH_QB15D_P635A30V1.0.5_OTA.zip,1.20 GB,https://drive.google.com/file/d/1WrRhT7HalkKiInJXJEUkvGuA13ghpFEi/view
ZTE Blade E01,ZTE_Blade_E01_A476_Z116_JP_9S9O21D800K013_20170412_OTA.zip,1.21 GB,https://drive.google.com/file/d/18ru9NKzrtySmz9Kodo9Tk94dKJt7y1QA/view
ZTE Blade V8Q,ZTE_Blade_V8Q_MSM8917_P817F01V1.0.0B17_20181122_7.1.2_QPST.zip,1.89 GB,https://drive.google.com/file/d/183d_-NhzKIZmf6oX0TUlT68SVPFMFxyq/view
ZTE Blade V890,ZTE_Blade_V890_V890AMV1.0.0B02_20180802_8.1.0_QPST.zip,2.90 GB,https://drive.google.com/file/d/1iM8pm_S2tq5xHBeTDWohDGjm7rVUp2SB/view
ZTE Small Fresh 4 BV0701,ZTE_Small_Fresh_4_BV0701_MT6755_PV_P655A30V0.0.1B09_20160521_6.0.zip,631 MB,https://drive.google.com/file/d/1CUeKU9_0iEFUcbFPtKt03HaxkJjJPdVb/view
ZTE Xiaoxian 4 BV0701,ZTE_Xiaoxian_4_BV0701_MT6753_BV0701V1.0.0B08_20161118_6.0.zip,4.63 GB,https://drive.google.com/file/d/129u3-sUhFWvYbH02S_TSHmdaU1w3svFf/view
ZTE Blade A33S,ZTE_Blade_A33S_467420B068212.5_TIM_EEA_231222_OTA.zip,1.52 GB,https://drive.google.com/file/d/1iA-VfbDoRzghp0m8YLe6SFK5NDuFNcZJ/view
ZTE Blade V60 Design Z2350,ZTE_Blade_V60_Design_Z2350_GEN_LA_P606F10V1.0.0B07_DL_SPD.zip,3.51 GB,https://drive.google.com/file/d/1iT0Fsk5Sv4tL_tnDozscGRwBM8NzwnNz/view
