Model,File Name,File Size,Download Link
iBall 2.8H Sumo Star,iBall_2.8H_Sumo_Star_MT6261_IND_V03_FMTK.zip,20 MB,https://androiddatahost.com/jhbn7
iBall 2.4 Sumo G2,iBall_2.4_Sumo_G2_MT6261_V10_160704_FMTK.zip,16 MB,https://androiddatahost.com/igh6g
iBall 2.4 Sumo-G,iBall_2.4_Sumo-G_IND_MT6261_V06.1_Indian_FMTK.zip,20 MB,https://androiddatahost.com/ibbnt
iBall Blaze V4,iBall_Blaze_V4_MT6737M_080318.zip,832 MB,https://drive.google.com/file/d/1iBmmOzdBhz8cmHQb_mElQ3G0NhnfeZhm/view
iBall Slide Skye 03,iBall_Slide_Skye_03_S706_SC7731E_2.0_180710_SPD.zip,657 MB,https://drive.google.com/file/d/1g7TUKifUo0LDOaVNMdhK5kyYtxRxq-Be/view
iBall iTab Bizniz IT-KSA0003,iBall_iTab_Bizniz_IT-KSA0003_SC9863A_20200827_SPD.zip,1.8 GB,https://drive.google.com/file/d/1-pcD1RK4LNQFE9bc47RaF8J2QfWWin-1/view
iBall Slide Majestic 01,iBall_Slide_Majestic_01_MT6580_V1.0_20190124.zip,931 MB,https://drive.google.com/file/d/1vMK399m5RnmYftqp_tCpCxD1yuXvx2SR/view
iBall Slide Nova 4G,iBall_Slide_Nova_4G_MT6735_20180802.zip,1 GB,https://drive.google.com/file/d/1S4nsQCelOAx16Izu5ancX0PNknuV8e4T/view
iBall Slide Perfect 10,iBall_Slide_Perfect_10_MT6580_V1.0_20190124.zip,689 MB,https://drive.google.com/file/d/15X0lghQ6Cno6LR3cjN3VW784ESHQveQo/view
iBall Slide Spirit V2,iBall_Slide_Spirit_V2_V1.3_20190114_SPD.zip,958 MB,https://drive.google.com/file/d/15eTfG_9P_8IXTUaR6jHHLtv580K3Rs-m/view
iBall Iris Drishti 4G,iBall_Iris_Drishti_4G_MT6735_V1.35.4_20181229.zip,1008 MB,https://drive.google.com/file/d/1KyPaCNH55uheZCB_wsNbURJV-Y8WP_J0/view
iBall iTab Bizniz Mini iT-KSA0066,iBall_iTab_Bizniz_Mini_iT-KSA0066_20191122_SPD.zip,1.8 GB,https://drive.google.com/file/d/1d7vWRJa7DVWwLylbsTmTVEc52efm3e5b/view
iBall Moviez Pro iT-KSA0012,iBall_Moviez_Pro_iT-KSA0012_20190910_SPD.zip,1.8 GB,https://drive.google.com/file/d/10KqN5Tsx8B8lLciMKKTrSkJpIFpp7KRT/view
iBall Slide Cleo S9,iBall_Slide_Cleo_S9_v1.0_20190112_SPD.zip,1 GB,https://drive.google.com/file/d/1zw1jtpU2TTqmhhlnlhF_aTa4H8A4PYrp/view
iBall Slide Spirit X2 Tab,iBall_Slide_Spirit_X2_Tab_MT6737M_8GB_20180730.zip,1 GB,https://drive.google.com/file/d/1k-R93PilfXcoZJzajVCqDj1PQ3MHJlzd/view
iBall iTab MovieZ Pro iT-KSA0012,iBall_iTab_MovieZ_Pro_iT-KSA0012_S8631V-9863A_20190910_SPD.zip,2 GB,https://drive.google.com/file/d/1NpWdBxk_hqmDPwR5vwCr4Wp_Cct9pOBj/view
iBall Slide Q27 3G,iBall_Slide_Q27_3G_MT6580_V08_20160419.zip,944 MB,https://drive.google.com/file/d/1qGLVPm42j-LSszgPlG55--Q-aJpmZ9P3/view
iBall Slide 4GE Mania,iBall_Slide_4GE_Mania_MT6735_V2.39.1_040119_6.0.zip,1 GB,https://drive.google.com/file/d/1w0iKDfpNU6vSG6YKlSBfSWi_xR6_bSGL/view
iBall Slide 3G 1035Q-9,iBall_Slide_3G_1035Q-9_MT6582_030715_4.4.2.zip,559 MB,https://drive.google.com/file/d/1oR5Qo1mniuP0fvZhK8WFr4_ap9SJ9fb5/view
iBall Slide 3G 6095-Q700,iBall_Slide_3G_6095-Q700_MT6582_02032015.zip,642 MB,https://drive.google.com/file/d/1XNpBNB5EXnsbdTsHI_A7kKpCLBwwfHYv/view
